PF Rating,Team,Pos,Player,Prop,L10 Avg,L10 Diff,L5 Avg,L5 Diff,Odds,Streak,Matchup,2023,2024,H2H,L5,L10,L20,L30
76.6,DEN,PF,Aaron Gordon,o0.5 3PTM,2,1.5,3,2.5,"'-230",10,5,31/72,29/38,8/17,5/5,10/10,16/20,22/30
63.7,MIN,C,Naz Reid,o1.5 Ast,3,1.5,2.6,1.1,"'-135",18,3,36/80,43/66,1/5,5/5,10/10,19/20,23/30
60.5,MIN,SF,Jaden McDaniels,o20.5 PRA,29.5,9,28,7.5,"'-130",12,1,12/71,32/67,1/5,5/5,10/10,17/20,23/30
59.9,MIN,SF,Jaden McDaniels,o18.5 PR,26.2,7.7,24.4,5.9,"'-114",12,1,13/71,30/67,1/5,5/5,10/10,17/20,22/30
50.2,MIN,SF,Jaden McDaniels,o15.5 PA,21.6,6.1,21.8,6.3,"'-115",12,1,16/71,29/67,1/5,5/5,10/10,16/20,21/30
59.9,MIN,SF,Jaden McDaniels,o12.5 Pts,18.3,5.8,18.2,5.7,"'-120",12,1,21/71,28/67,1/5,5/5,10/10,15/20,21/30
72.5,MIA,PF,Bam Adebayo,o0.5 Steals,1.8,1.3,2.2,1.7,"'-200",8,12,45/70,45/63,14/21,5/5,9/10,13/20,19/30
82,ATL,C,Onyeka Okongwu,o1.5 Ast,2.6,1.1,2,0.5,"'-148",0,17,22/55,37/59,2/4,4/5,9/10,17/20,25/30
92.2,TOR,SF,RJ Barrett,o30.5 PRA,33.3,2.8,34,3.5,"'-110",5,30,26/58,32/51,0/4,5/5,9/10,14/20,20/30
89.9,CLE,PF,Evan Mobley,o0.5 3PTM,1.1,0.6,1,0.5,"'-245",3,28,16/49,36/58,2/4,4/5,9/10,12/20,20/30
61.7,MIN,C,Rudy Gobert,o22.5 PRA,28.6,6.1,27.2,4.7,"'-137",3,5,62/75,34/57,5/5,4/5,9/10,13/20,18/30
67.2,ATL,PF,Georges Niang,o4 Reb,4.5,0.5,4.2,0.2,"'-137",4,7,33/81,37/64,2/4,4/5,9/10,15/20,18/30
60.9,MIN,C,Rudy Gobert,o20.5 PR,26.2,5.7,25,4.5,"'-102",3,4,62/75,33/57,5/5,4/5,9/10,13/20,18/30
70.6,MIN,PG,Donte DiVincenzo,o2.5 3PTM,4.1,1.6,3.4,0.9,"'-150",0,23,51/80,28/48,3/5,4/5,9/10,16/20,20/30
61.4,MIN,SF,Jaden McDaniels,o7.5 RA,11.2,3.7,9.8,2.3,"'-115",4,7,8/71,39/67,3/5,4/5,9/10,17/20,25/30
72.9,MIA,SF,Duncan Robinson,o12.5 PA,17.1,4.6,15.6,3.1,"'-115",9,13,45/68,35/62,5/19,5/5,9/10,13/20,19/30
72.2,MIN,PG,Donte DiVincenzo,o14.5 PA,20,5.5,18.4,3.9,"'-120",9,23,52/80,27/48,4/5,5/5,9/10,17/20,20/30
61.9,MIN,C,Rudy Gobert,o10.5 Pts,14.8,4.3,14.8,4.3,"'-106",6,4,55/75,30/57,4/5,5/5,9/10,16/20,18/30
61.4,MIN,C,Rudy Gobert,o12.5 PA,17.2,4.7,17,4.5,"'-115",6,3,53/75,30/57,4/5,5/5,9/10,15/20,17/30
70.7,MIN,PG,Donte DiVincenzo,o18.5 PRA,24.4,5.9,22.6,4.1,"'-122",9,20,50/80,24/48,3/5,5/5,9/10,15/20,18/30
89.1,TOR,PF,Scottie Barnes,o3.5 Ast,4.7,1.2,4.2,0.7,"'-154",0,24,52/60,43/51,3/5,4/5,8/10,17/20,24/30
80.3,CLE,PF,Dean Wade,o0.5 Ast,1,0.5,0.8,0.3,"'-240",4,7,26/54,37/45,1/3,4/5,8/10,17/20,23/30
85.3,ATL,PF,Mouhamed Gueye,o0.5 Blocks,1.2,0.7,1.6,1.1,"'-155",6,16,1/5,13/18,0/0,5/5,8/10,14/20,15/25
57.4,MIA,SF,Duncan Robinson,o3.5 RA,5.2,1.7,3.4,"'-0.1","'-160",0,20,46/68,43/62,5/19,3/5,8/10,13/20,21/30
77.4,MEM,SG,Desmond Bane,o0.5 Steals,1.3,0.8,1.4,0.9,"'-210",1,4,29/42,37/54,2/3,4/5,8/10,12/20,20/30
60.2,MIN,PG,Donte DiVincenzo,o0.5 Steals,1.3,0.8,0.6,0.1,"'-220",0,9,59/80,33/48,4/5,3/5,8/10,14/20,21/30
